well_permit_number,period_id,production_indicator,well_status,farm_name,well_number,gas_quantity,gas_production_days,condensate_quanitity,condensate_production_days,oil_quantity,oil_production_days,averaged,operator_name,ogo_number,well_county,well_municipality,well_latitude,well_longitude,unconventional,well_configuration_code,home_use,reporting_period,comment_reason,comment_text,serialid
003-20028,2012-0,N,ACTIVE,B N WHITMORE 11,11,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.412845,-80.209542,N,VERTI,N,Jan - Dec 2012 (Conventional wells),Gas storage well,,601
003-20032,2012-0,N,ACTIVE,JOSEPH J MATHEWS 10,10,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.376335,-80.231076,N,VERTI,N,Jan - Dec 2012 (Conventional wells),Well Temporarily Shut-In,Needs service rig work,602
003-20036,2012-0,N,ACTIVE,J B HERRON 10,10,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.40214,-80.213133,N,VERTI,N,Jan - Dec 2012 (Conventional wells),Gas storage well,,603
003-20042,2012-0,Y,ACTIVE,J B HERRON 11,11,,,,,1217,365,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.397905,-80.210356,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,604
003-20047,2012-0,N,ACTIVE,JOSEPH J MATTHEWS --,--,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.407074,-80.206116,N,VERTI,N,Jan - Dec 2012 (Conventional wells),Gas storage well,,605
003-00916,2012-0,Y,ACTIVE,MCKEE 022-1,022-1,4401,365,,,,,N,WASHINGTON ENERGY CO LLC,OGO-36506,ALLEGHENY,CASTLE SHANNON,40.368427,-80.028472,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,650
003-00971,2012-0,Y,ACTIVE,MARY CLARKE ROSS 1,1,4514,365,,,,,N,WASHINGTON ENERGY CO LLC,OGO-36506,ALLEGHENY,KILBUCK,40.51602,-80.101803,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,651
003-20088,2012-0,Y,ACTIVE,JOSEPH J POLIAK 356,356,1350,365,,,,,N,NATURAL ENERGY DEV CORP,OGO-36590,ALLEGHENY,FAWN,40.650214,-79.727189,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,653
003-20091,2012-0,Y,ACTIVE,JOSEPH J POLIAK 365,365,1356,365,,,,,N,NATURAL ENERGY DEV CORP,OGO-36590,ALLEGHENY,FAWN,40.652684,-79.726468,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,654
003-21993,2012-0,Y,ACTIVE,P CLANCY 1,1,7976,365,,,,,N,NATURAL ENERGY DEV CORP,OGO-36590,ALLEGHENY,PLUM,40.480556,-79.734651,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,655
003-00652,2012-0,N,ACTIVE,G BURTNER 92A 3,3,,,,,,,N,XTO ENERGY INC,OGO-38958,ALLEGHENY,HARRISON,40.632098,-79.726463,N,VERTI,N,Jan - Dec 2012 (Conventional wells),Well Temporarily Shut-In,,792
003-00653,2012-0,Y,ACTIVE,D HARRISON 145A 2,2,2771,366,,,,,N,XTO ENERGY INC,OGO-38958,ALLEGHENY,HARRISON,40.642804,-79.715295,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,793
003-00655,2012-0,Y,ACTIVE,G P HILL 82A 2,2,2691,366,,,,,N,XTO ENERGY INC,OGO-38958,ALLEGHENY,FRAZER,40.61294,-79.766325,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,795
003-00656,2012-0,Y,ACTIVE,C KONESKY 60A 1,1,224,211,,,,,N,XTO ENERGY INC,OGO-38958,ALLEGHENY,FRAZER,40.576764,-79.800425,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,796
003-00661,2012-0,Y,ACTIVE,D MCKEAN 115A 1,1,1852,366,,,,,N,XTO ENERGY INC,OGO-38958,ALLEGHENY,PLUM,40.506276,-79.722833,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,797
003-00662,2012-0,Y,ACTIVE,D MCKEAN 115A 2,2,1042,366,,,,,N,XTO ENERGY INC,OGO-38958,ALLEGHENY,PLUM,40.505453,-79.721394,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,798
003-00664,2012-0,N,ACTIVE,A H SMITH 92A 3,3,,,,,,,N,XTO ENERGY INC,OGO-38958,ALLEGHENY,FAWN,40.637312,-79.773717,N,VERTI,N,Jan - Dec 2012 (Conventional wells),Well Temporarily Shut-In,,799
003-00670,2012-0,Y,ACTIVE,J A CLEMENTS 100A 1,1,2048,366,,,,,N,XTO ENERGY INC,OGO-38958,ALLEGHENY,PLUM,40.508061,-79.712764,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,800
003-00671,2012-0,Y,ACTIVE,J M CLEMENTS 50A 3,3,3456,366,,,,,N,XTO ENERGY INC,OGO-38958,ALLEGHENY,PLUM,40.503257,-79.716,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,801
003-00672,2012-0,N,ACTIVE,J DUER HRS 13A 1,1,,,,,,,N,XTO ENERGY INC,OGO-38958,ALLEGHENY,PLUM,40.506551,-79.708808,N,VERTI,N,Jan - Dec 2012 (Conventional wells),Well Temporarily Shut-In,,802
003-00673,2012-0,Y,ACTIVE,J ELLIOTT 123A 2,2,2998,366,,,,,N,XTO ENERGY INC,OGO-38958,ALLEGHENY,PLUM,40.489587,-79.726964,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,803
003-20031,2012-0,Y,ACTIVE,IVY B CLEMENTS 3,3,5,212,,,,,N,XTO ENERGY INC,OGO-38958,ALLEGHENY,PLUM,40.495627,-79.720314,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,804
003-20037,2012-0,Y,ACTIVE,G E RENOIS ET AL 3,3,3629,366,,,,,N,XTO ENERGY INC,OGO-38958,ALLEGHENY,PLUM,40.489858,-79.74494,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,805
003-20038,2012-0,N,ACTIVE,WALTER KOMOSINSKI(FORMRLY A H SMITH) 1,1,,,,,,,N,XTO ENERGY INC,OGO-38958,ALLEGHENY,FAWN,40.635391,-79.773176,N,VERTI,N,Jan - Dec 2012 (Conventional wells),Well Temporarily Shut-In,,806
003-20051,2012-0,Y,ACTIVE,"WS, EG & MR MARVIN & HM SCHWARTZ 3",3,1780,366,,,,,N,XTO ENERGY INC,OGO-38958,ALLEGHENY,HARRISON,40.646921,-79.723764,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,807
003-20053,2012-0,Y,ACTIVE,VALLEY PROPERTIES INC (J MCLAUGHLIN) 1,1,6619,366,,,,,N,XTO ENERGY INC,OGO-38958,ALLEGHENY,PLUM,40.521716,-79.799338,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,808
003-20056,2012-0,Y,ACTIVE,SANDRA L & BERTHA A YOUNG 1,1,3068,366,,,,,N,XTO ENERGY INC,OGO-38958,ALLEGHENY,PLUM,40.51506,-79.805272,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,809
003-20057,2012-0,Y,ACTIVE,L BLANCHE JONES (NATHAN JONES) 1,1,4523,366,,,,,N,XTO ENERGY INC,OGO-38958,ALLEGHENY,PENN HILLS,40.512864,-79.801405,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,810
003-20058,2012-0,Y,ACTIVE,GEORGE O STEUERNAGEL 2,2,5817,366,,,,,N,XTO ENERGY INC,OGO-38958,ALLEGHENY,PLUM,40.5141,-79.794122,N,VERTI,N,Jan - Dec 2012 (Conventional wells),,,811
