well_permit_number,period_id,production_indicator,well_status,farm_name,well_number,gas_quantity,gas_production_days,condensate_quanitity,condensate_production_days,oil_quantity,oil_production_days,averaged,operator_name,ogo_number,well_county,well_municipality,well_latitude,well_longitude,unconventional,well_configuration_code,home_use,reporting_period,comment_reason,comment_text,serialid
003-00902,2011-0,Y,ACTIVE,J.B. HERRON 2,2,,,,,166,144,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.400371,-80.210389,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,642
003-00903,2011-0,Y,ACTIVE,J.B. HERRON 4,4,,,,,1114,365,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.399071,-80.212873,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,643
003-00904,2011-0,Y,ACTIVE,J.B. HERRON 8,8,,,,,1114,365,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.396288,-80.208222,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,644
003-00905,2011-0,Y,ACTIVE,J.B. HERRON 6,6,,,,,39,155,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.402689,-80.215646,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,645
003-00906,2011-0,N,ACTIVE,J.B.HERRON 9,9,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.402871,-80.215406,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,On service rig schedule,646
003-00907,2011-0,Y,ACTIVE,A. BELL 7,7,,,,,988,144,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.413114,-80.203067,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,647
003-00908,2011-0,N,ACTIVE,MATTHEW HEIRS 2,2,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.404455,-80.217556,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,On service rig schedule,648
003-00909,2011-0,N,ACTIVE,MATTHEW HEIRS 3,3,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.40763,-80.210978,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,On service rig schedule,649
003-00910,2011-0,Y,ACTIVE,MATTHEW HEIRS 5,5,,,,,771.67,144,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.409277,-80.212774,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,650
003-00911,2011-0,Y,ACTIVE,MATTHEW HEIRS 7,7,,,,,771.67,144,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.41106,-80.215826,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,651
003-00912,2011-0,Y,ACTIVE,MATTHEW HEIRS 8,8,,,,,771.67,144,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.407355,-80.213492,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,652
003-00913,2011-0,N,ACTIVE,MATTHEW HEIRS 9,9,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.407492,-80.215826,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,gas well,653
003-00914,2011-0,N,ACTIVE,MATTHEW HEIRS 10,10,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.406532,-80.213312,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,on service rig schedule,654
003-00915,2011-0,Y,ACTIVE,J. GORMLEY 2,2,,,,,184,365,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.410927,-80.211156,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,655
003-00946,2011-0,N,ACTIVE,J. GROMLEY 14,14,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.410512,-80.210979,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,On service rig schedule,656
003-20028,2011-0,N,ACTIVE,B N WHITMORE 11,11,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.412845,-80.209542,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,gas well,657
003-20032,2011-0,N,ACTIVE,JOSEPH J MATHEWS 10,10,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.376335,-80.231076,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,On service rig schedule,658
003-20036,2011-0,N,ACTIVE,J B HERRON 10,10,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.40214,-80.213133,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,gas well,659
003-20042,2011-0,Y,ACTIVE,J B HERRON 11,11,,,,,1114,365,Y,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.397905,-80.210356,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,660
003-20047,2011-0,N,ACTIVE,JOSEPH J MATTHEWS --,--,,,,,,,N,NEW CENTURY ENERGY INC,OGO-34494,ALLEGHENY,NORTH FAYETTE,40.407074,-80.206116,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,On service rig schedule,661
003-00916,2011-0,Y,ACTIVE,MCKEE 022-1,022-1,4807,365,,,,,N,WASHINGTON ENERGY CO LLC,OGO-36506,ALLEGHENY,CASTLE SHANNON,40.368427,-80.028472,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,711
003-00971,2011-0,Y,ACTIVE,MARY CLARKE ROSS 1,1,774,365,,,,,N,WASHINGTON ENERGY CO LLC,OGO-36506,ALLEGHENY,KILBUCK,40.51602,-80.101803,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,712
003-20088,2011-0,Y,ACTIVE,JOSEPH J POLIAK 356,356,1878,365,,,,,N,NATURAL ENERGY DEV CORP,OGO-36590,ALLEGHENY,FAWN,40.650214,-79.727189,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,714
003-20091,2011-0,Y,ACTIVE,JOSEPH J POLIAK 365,365,1886,365,,,,,N,NATURAL ENERGY DEV CORP,OGO-36590,ALLEGHENY,FAWN,40.652684,-79.726468,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,715
003-21603,2011-0,N,ACTIVE,R E KENNIHAN ET UX ET AL 1,1,,,,,,,N,NATURAL ENERGY DEV CORP,OGO-36590,ALLEGHENY,FAWN,40.653851,-79.732311,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",Plugged well,,716
003-21993,2011-0,Y,ACTIVE,P CLANCY 1,1,11996,365,,,,,N,NATURAL ENERGY DEV CORP,OGO-36590,ALLEGHENY,PLUM,40.480556,-79.734651,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,717
003-22180,2011-0,N,ACTIVE,R J GREINER9 1,1,,,,,,,N,SYLVAN ENERGY LLC,OGO-39002,ALLEGHENY,WEST DEER,40.658339,-79.824075,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)","Permit valid, well not spud",,892
003-22181,2011-0,N,ACTIVE,R J GREINER9 2,2,,,,,,,N,SYLVAN ENERGY LLC,OGO-39002,ALLEGHENY,WEST DEER,40.65835,-79.825614,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)","Permit valid, well not spud",,893
003-22051,2011-0,Y,ACTIVE,RIVERVIEW GOLF COURSE/DETWILER UNIT 1-P408,1-P408,2716,365,,,,,N,HAYDEN HARPER ENERGY KA LLC,OGO-39327,ALLEGHENY,FORWARD,40.231044,-79.930947,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,901
003-22053,2011-0,Y,ACTIVE,STROTMAN 1-P404,1-P404,766.83,365,,,,,N,HAYDEN HARPER ENERGY KA LLC,OGO-39327,ALLEGHENY,FORWARD,40.235372,-79.948297,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,902
003-22064,2011-0,Y,ACTIVE,WILLIAMS UNIT 1-P406,1-P406,2432.17,365,,,,,N,HAYDEN HARPER ENERGY KA LLC,OGO-39327,ALLEGHENY,FORWARD,40.230564,-79.964083,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,903
005-23293,2011-0,Y,ACTIVE,PENN PARK DEV CORP&BARON CRST ENERGY 12A,12A,352.5,364,,,,,Y,STEWART INC,OGO-16801,ARMSTRONG,KISKIMINETAS,40.573743,-79.520447,N,VERTI,N,"Jan - Dec 2011 (Annual O&G, without Marcellus)",,,1449
